epoch,train/box_loss,train/cls_loss,train/obj_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,x/lr0
1,1.1291826713030741,1.1291826713030741,0.0,0.5059999998554285,0.5059999998554285,0.5059999998554285,0.4806999998626571,0.001
2,1.0382901781225857,1.0382901781225857,0.0,0.5142857141387756,0.5142857141387756,0.5142857141387756,0.48857142843183676,0.001
1,1.145823661867342,1.145823661867342,0.0,0.5125714284249796,0.5125714284249796,0.5125714284249796,0.4869428570037306,0.001
1,1.1341987279452146,0.17142857137959186,0.3333333331481481,0.17142857137959186,0.16285714281061225,0.001
1,1.1378207081529104,0.3640014240204125,0.3375462960984632,0.3640014240204125,0.3458013528193919,0.001
1,1.1318877687737279,1.1318877687737279,0.0,0.511428571282449,0.511428571282449,0.511428571282449,0.48585714271832653,0.001
2,1.0453045577763422,1.0453045577763422,0.0,0.5142857141387756,0.5142857141387756,0.5142857141387756,0.48857142843183676,0.001
1,1.1397781159779796,1.1397781159779796,0.0,0.5045714284272653,0.5045714284272653,0.5045714284272653,0.479342857005902,0.001
2,1.056380436300687,1.056380436300687,0.0,0.5139999998531428,0.5139999998531428,0.5139999998531428,0.48829999986048567,0.001
1,1.1421151365319344,1.1421151365319344,0.0,0.4979999998577143,0.4979999998577143,0.4979999998577143,0.4730999998648286,0.001
2,1.0477443606886145,1.0477443606886145,0.0,0.5148571427100408,0.5148571427100408,0.5148571427100408,0.48911428557453873,0.001
3,1.0063641144804758,1.0063641144804758,0.0,0.5431428569876735,0.5431428569876735,0.5431428569876735,0.5159857141382898,0.001
4,0.9689491366686886,0.9689491366686886,0.0,0.6091428569688163,0.6091428569688163,0.6091428569688163,0.5786857141203755,0.001
5,0.9297336878841871,0.9297336878841871,0.0,0.6294285712487347,0.6294285712487347,0.6294285712487347,0.597957142686298,0.001
6,0.9020895951142595,0.9020895951142595,0.0,0.6325714283906939,0.6325714283906939,0.6325714283906939,0.6009428569711592,0.001
1,1.1399160201691056,1.1399160201691056,0.0,0.49057142843126533,0.49057142843126533,0.49057142843126533,0.46604285700970205,0.001
2,1.0504165436034878,1.0504165436034878,0.0,0.5142857141387756,0.5142857141387756,0.5142857141387756,0.48857142843183676,0.001
3,1.0089504226157655,1.0089504226157655,0.0,0.527142856992245,0.527142856992245,0.527142856992245,0.5007857141426326,0.001
4,0.97745060648548,0.97745060648548,0.0,0.5911428569739592,0.5911428569739592,0.5911428569739592,0.5615857141252611,0.001
5,0.9366518084861372,0.9366518084861372,0.0,0.624285714107347,0.624285714107347,0.624285714107347,0.5930714284019797,0.001
